"","task","description","start","finish","duration","duration_hrs","note","category","date"
"780","psi",NA,2018-10-01 20:14:00,2018-10-01 20:36:00,00:21:37,0.3603608,NA,"psi",2018-10-01
"781","psi",NA,2018-10-01 20:36:00,2018-10-01 20:41:00,00:05:21,0.0893301,NA,"psi",2018-10-01
"782","review",NA,2018-10-01 20:46:00,2018-10-01 20:50:00,00:03:50,0.0641522,NA,"psi",2018-10-01
"783","theta",NA,2018-10-01 20:52:00,2018-10-01 21:02:00,00:09:58,0.1663376,NA,"theta",2018-10-01
"784","theta",NA,2018-10-01 21:07:00,2018-10-01 21:14:00,00:06:56,0.1157121,NA,"theta",2018-10-01
"785","psi",NA,2018-10-01 21:14:00,2018-10-01 21:23:00,00:08:54,0.1484827,NA,"psi",2018-10-01
"786","theta",NA,2018-10-01 21:23:00,2018-10-01 21:36:00,00:13:04,0.2178116,NA,"theta",2018-10-01
"787","psi",NA,2018-10-01 21:38:00,2018-10-01 21:53:00,00:15:16,0.2546875,NA,"psi",2018-10-01
"788","psi",NA,2018-10-01 22:06:00,2018-10-01 22:16:00,00:10:04,0.16778,NA,"psi",2018-10-01
"789","theta",NA,2018-10-01 22:16:00,2018-10-01 22:25:00,00:08:21,0.1394399,NA,"theta",2018-10-01
"790","psi",NA,2018-10-01 22:27:00,2018-10-01 22:29:00,00:02:07,0.0355369,NA,"psi",2018-10-01
"791","theta",NA,2018-10-01 22:43:00,2018-10-01 22:52:00,00:08:17,0.1381767,NA,"theta",2018-10-01
"792","psi",NA,2018-10-01 22:52:00,2018-10-01 22:58:00,00:06:49,0.1138182,NA,"psi",2018-10-01
"793","theta",NA,2018-10-01 22:58:00,2018-10-01 23:05:00,00:06:12,0.1036043,NA,"theta",2018-10-01
"794","theta",NA,2018-10-01 23:05:00,2018-10-01 23:16:00,00:11:05,0.1847535,NA,"theta",2018-10-01
"795","review",NA,2018-10-02 09:39:00,2018-10-02 09:43:00,00:04:36,0.0768439,NA,"psi",2018-10-02
"796","review",NA,2018-10-02 09:44:00,2018-10-02 09:50:00,00:05:55,0.098728,NA,"psi",2018-10-02
"797","psi",NA,2018-10-02 09:50:00,2018-10-02 10:00:00,00:10:00,0.166714,NA,"psi",2018-10-02
"798","psi",NA,2018-10-02 10:10:00,2018-10-02 10:33:00,00:22:46,0.3796528,NA,"psi",2018-10-02
"799","review",NA,2018-10-02 10:33:00,2018-10-02 10:49:00,00:16:16,0.2711509,NA,"psi",2018-10-02
"800","psi",NA,2018-10-02 10:49:00,2018-10-02 10:54:00,00:05:05,0.0847826,NA,"psi",2018-10-02
"801","psi",NA,2018-10-02 10:54:00,2018-10-02 11:02:00,00:07:35,0.1265634,NA,"psi",2018-10-02
"802","review",NA,2018-10-02 11:02:00,2018-10-02 11:03:00,00:01:13,0.0205106,NA,"psi",2018-10-02
"803","phi",NA,2018-10-02 11:03:00,2018-10-02 11:14:00,00:11:09,0.1859268,NA,"phi",2018-10-02
"804","psi",NA,2018-10-02 11:36:00,2018-10-02 11:48:00,00:11:04,0.1846529,NA,"psi",2018-10-02
"805","phi",NA,2018-10-02 15:40:00,2018-10-02 15:49:00,00:09:20,0.1557443,NA,"phi",2018-10-02
"806","review",NA,2018-10-02 16:02:00,2018-10-02 16:18:00,00:15:10,0.2529553,NA,"psi",2018-10-02
"807","theta",NA,2018-10-02 16:18:00,2018-10-02 16:20:00,00:01:58,0.0327937,NA,"theta",2018-10-02
"808","phi",NA,2018-10-03 06:41:00,2018-10-03 07:01:00,00:20:04,0.3345285,NA,"phi",2018-10-03
"809","review",NA,2018-10-03 07:13:00,2018-10-03 07:16:00,00:02:54,0.0483919,NA,"psi",2018-10-03
"810","psi",NA,2018-10-03 07:16:00,2018-10-03 07:26:00,00:10:09,0.1691945,NA,"psi",2018-10-03
"811","phi",NA,2018-10-03 07:29:00,2018-10-03 08:22:00,00:53:37,0.8936541,NA,"phi",2018-10-03
"812","psi",NA,2018-10-03 11:14:00,2018-10-03 11:20:00,00:05:58,0.0995762,NA,"psi",2018-10-03
"813","phi",NA,2018-10-03 11:21:00,2018-10-03 11:24:00,00:03:41,0.0615405,NA,"phi",2018-10-03
"814","phi",NA,2018-10-03 13:31:00,2018-10-03 13:42:00,00:10:38,0.1772294,NA,"phi",2018-10-03
"815","phi",NA,2018-10-03 13:52:00,2018-10-03 14:44:00,00:52:24,0.8735278,NA,"phi",2018-10-03
"816","review",NA,2018-10-04 15:33:00,2018-10-04 15:37:00,00:03:58,0.066183,NA,"psi",2018-10-04
"817","review",NA,2018-10-04 15:39:00,2018-10-04 15:43:00,00:04:08,0.0689917,NA,"psi",2018-10-04
"818","psi",NA,2018-10-04 15:43:00,2018-10-04 15:48:00,00:04:41,0.0782829,NA,"psi",2018-10-04
"819","psi",NA,2018-10-04 15:48:00,2018-10-04 15:58:00,00:10:07,0.1688609,NA,"psi",2018-10-04
"820","psi",NA,2018-10-04 16:00:00,2018-10-04 16:05:00,00:05:24,0.0900452,NA,"psi",2018-10-04
"821","phi",NA,2018-10-04 16:15:00,2018-10-04 16:18:00,00:03:02,0.0506467,NA,"phi",2018-10-04
"822","review",NA,2018-10-05 03:42:00,2018-10-05 03:50:00,00:07:50,0.1307061,NA,"psi",2018-10-05
"823","phi",NA,2018-10-05 08:25:00,2018-10-05 08:26:00,00:01:30,0.0251999,NA,"phi",2018-10-05
"824","theta",NA,2018-10-05 10:47:00,2018-10-05 10:53:00,00:05:48,0.0969088,NA,"theta",2018-10-05
"825","psi",NA,2018-10-05 10:53:00,2018-10-05 10:58:00,00:05:30,0.0919275,NA,"psi",2018-10-05
"826","phi",NA,2018-10-05 10:59:00,2018-10-05 11:24:00,00:24:48,0.4134022,NA,"phi",2018-10-05
"827","theta",NA,2018-10-05 11:38:00,2018-10-05 11:50:00,00:12:01,0.2005129,NA,"theta",2018-10-05
"828","theta",NA,2018-10-05 12:00:00,2018-10-05 12:09:00,00:09:32,0.1591062,NA,"theta",2018-10-05
"829","phi",NA,2018-10-05 13:25:00,2018-10-05 13:27:00,00:01:58,0.0328608,NA,"phi",2018-10-05
"830","theta",NA,2018-10-05 13:27:00,2018-10-05 13:30:00,00:02:51,0.0477282,NA,"theta",2018-10-05
"831","psi",NA,2018-10-05 14:20:00,2018-10-05 14:24:00,00:03:57,0.0660961,NA,"psi",2018-10-05
"832","phi",NA,2018-10-05 14:25:00,2018-10-05 14:51:00,00:26:12,0.4367104,NA,"phi",2018-10-05
"833","phi",NA,2018-10-05 15:54:00,2018-10-05 16:35:00,00:40:48,0.6800824,NA,"phi",2018-10-05
"834","review",NA,2018-10-05 16:35:00,2018-10-05 16:38:00,00:02:50,0.0474362,NA,"psi",2018-10-05
"835","review",NA,2018-10-06 04:40:00,2018-10-06 04:51:00,00:10:37,0.1770406,NA,"psi",2018-10-06
"836","theta",NA,2018-10-06 10:16:00,2018-10-06 10:19:00,00:02:46,0.046298,NA,"theta",2018-10-06
"837","psi",NA,2018-10-06 10:19:00,2018-10-06 10:22:00,00:02:35,0.0432068,NA,"psi",2018-10-06
"838","phi",NA,2018-10-06 10:22:00,2018-10-06 10:27:00,00:05:22,0.0896177,NA,"phi",2018-10-06
"839","theta",NA,2018-10-06 10:27:00,2018-10-06 10:32:00,00:04:55,0.0819685,NA,"theta",2018-10-06
"840","psi",NA,2018-10-06 10:32:00,2018-10-06 10:34:00,00:01:36,0.0268368,NA,"psi",2018-10-06
"841","phi",NA,2018-10-06 10:41:00,2018-10-06 11:02:00,00:20:18,0.3385388,NA,"phi",2018-10-06
"842","theta",NA,2018-10-06 11:02:00,2018-10-06 11:04:00,00:01:18,0.0219242,NA,"theta",2018-10-06
"843","phi",NA,2018-10-06 11:22:00,2018-10-06 11:35:00,00:12:51,0.2141946,NA,"phi",2018-10-06
"844","psi",NA,2018-10-06 11:40:00,2018-10-06 11:43:00,00:02:48,0.0467945,NA,"psi",2018-10-06
"845","psi",NA,2018-10-06 11:43:00,2018-10-06 11:53:00,00:10:49,0.1803693,NA,"psi",2018-10-06
"846","phi",NA,2018-10-06 11:53:00,2018-10-06 11:55:00,00:01:58,0.0327937,NA,"phi",2018-10-06
"847","review",NA,2018-10-06 11:55:00,2018-10-06 11:58:00,00:02:33,0.0427238,NA,"psi",2018-10-06
"848","theta",NA,2018-10-06 11:58:00,2018-10-06 12:06:00,00:07:41,0.1280878,NA,"theta",2018-10-06
"849","psi",NA,2018-10-06 12:10:00,2018-10-06 12:13:00,00:03:16,0.0545818,NA,"psi",2018-10-06
"850","phi",NA,2018-10-06 12:13:00,2018-10-06 12:35:00,00:21:10,0.3529703,NA,"phi",2018-10-06
"851","theta",NA,2018-10-06 14:01:00,2018-10-06 14:23:00,00:22:46,0.3794766,NA,"theta",2018-10-06
"852","psi",NA,2018-10-06 14:30:00,2018-10-06 14:51:00,00:20:08,0.3357542,NA,"psi",2018-10-06
"853","review",NA,2018-10-06 14:51:00,2018-10-06 14:54:00,00:02:46,0.0462578,NA,"psi",2018-10-06
"854","phi",NA,2018-10-06 17:52:00,2018-10-06 18:12:00,00:20:09,0.3359238,NA,"phi",2018-10-06
"855","review",NA,2018-10-06 18:59:00,2018-10-06 19:03:00,00:04:35,0.0764246,NA,"psi",2018-10-06
"856","phi",NA,2018-10-06 22:52:00,2018-10-06 23:11:00,00:18:10,0.3028139,NA,"phi",2018-10-06
"857","review",NA,2018-10-07 08:53:00,2018-10-07 08:59:00,00:06:21,0.106087,NA,"psi",2018-10-07
"858","theta",NA,2018-10-07 09:00:00,2018-10-07 09:14:00,00:13:17,0.2215824,NA,"theta",2018-10-07
"859","psi",NA,2018-10-07 09:29:00,2018-10-07 09:33:00,00:04:43,0.0787417,NA,"psi",2018-10-07
"860","phi",NA,2018-10-07 09:36:00,2018-10-07 09:43:00,00:07:04,0.1180366,NA,"phi",2018-10-07
"861","theta",NA,2018-10-07 09:43:00,2018-10-07 09:55:00,00:11:36,0.1935402,NA,"theta",2018-10-07
"862","psi",NA,2018-10-07 11:52:00,2018-10-07 11:57:00,00:04:55,0.0821071,NA,"psi",2018-10-07
"863","theta",NA,2018-10-07 12:24:00,2018-10-07 12:30:00,00:05:20,0.088935,NA,"theta",2018-10-07
"864","psi",NA,2018-10-07 12:36:00,2018-10-07 12:41:00,00:04:54,0.0817052,NA,"psi",2018-10-07
"865","phi",NA,2018-10-08 10:24:00,2018-10-08 10:44:00,00:20:17,0.3383176,NA,"phi",2018-10-08
"866","review",NA,2018-10-08 10:58:00,2018-10-08 11:02:00,00:04:02,0.0674979,NA,"psi",2018-10-08
"867","phi",NA,2018-10-08 11:02:00,2018-10-08 11:21:00,00:18:58,0.3163689,NA,"phi",2018-10-08
"868","theta",NA,2018-10-08 11:21:00,2018-10-08 11:23:00,00:02:26,0.0408152,NA,"theta",2018-10-08
"869","theta",NA,2018-10-08 11:33:00,2018-10-08 11:37:00,00:03:28,0.0579372,NA,"theta",2018-10-08
"870","psi",NA,2018-10-08 11:37:00,2018-10-08 11:49:00,00:12:12,0.2035473,NA,"psi",2018-10-08
"871","phi",NA,2018-10-08 11:49:00,2018-10-08 11:50:00,00:01:35,0.0265807,NA,"phi",2018-10-08
"872","theta",NA,2018-10-08 12:11:00,2018-10-08 12:18:00,00:07:23,0.1232555,NA,"theta",2018-10-08
"873","psi",NA,2018-10-08 12:18:00,2018-10-08 12:23:00,00:04:22,0.0728156,NA,"psi",2018-10-08
"874","phi",NA,2018-10-08 13:28:00,2018-10-08 13:48:00,00:19:16,0.3213611,NA,"phi",2018-10-08
"875","phi",NA,2018-10-08 13:59:00,2018-10-08 14:14:00,00:15:10,0.2529464,NA,"phi",2018-10-08
"876","theta",NA,2018-10-08 14:23:00,2018-10-08 14:24:00,00:01:02,0.0174223,NA,"theta",2018-10-08
"877","psi",NA,2018-10-08 14:24:00,2018-10-08 14:28:00,00:03:33,0.0594095,NA,"psi",2018-10-08
"878","psi",NA,2018-10-08 14:28:00,2018-10-08 14:43:00,00:14:59,0.2497652,NA,"psi",2018-10-08
"879","review",NA,2018-10-08 14:46:00,2018-10-08 14:48:00,00:01:35,0.0265433,NA,"psi",2018-10-08
"880","phi",NA,2018-10-08 14:48:00,2018-10-08 14:53:00,00:05:27,0.0909193,NA,"phi",2018-10-08
"881","theta",NA,2018-10-08 14:53:00,2018-10-08 14:55:00,00:02:24,0.0401204,NA,"theta",2018-10-08
"882","phi",NA,2018-10-08 14:55:00,2018-10-08 15:05:00,00:09:59,0.1665618,NA,"phi",2018-10-08
"883","phi",NA,2018-10-08 15:21:00,2018-10-08 15:56:00,00:35:28,0.59132,NA,"phi",2018-10-08
"884","psi",NA,2018-10-08 17:57:00,2018-10-08 17:59:00,00:02:42,0.0450999,NA,"psi",2018-10-08
"885","phi",NA,2018-10-08 18:08:00,2018-10-08 18:20:00,00:11:07,0.1853424,NA,"phi",2018-10-08
"886","theta",NA,2018-10-08 18:20:00,2018-10-08 18:42:00,00:22:18,0.3719307,NA,"theta",2018-10-08
"887","psi",NA,2018-10-08 18:57:00,2018-10-08 19:18:00,00:20:24,0.3400458,NA,"psi",2018-10-08
"888","psi",NA,2018-10-08 19:18:00,2018-10-08 19:24:00,00:05:43,0.0955361,NA,"psi",2018-10-08
"889","review",NA,2018-10-08 19:24:00,2018-10-08 19:26:00,00:02:11,0.0366075,NA,"psi",2018-10-08
"890","phi",NA,2018-10-08 19:54:00,2018-10-08 20:01:00,00:06:37,0.110364,NA,"phi",2018-10-08
"891","theta",NA,2018-10-08 20:01:00,2018-10-08 20:09:00,00:08:32,0.1422595,NA,"theta",2018-10-08
"892","psi",NA,2018-10-08 20:24:00,2018-10-08 20:44:00,00:20:27,0.3410028,NA,"psi",2018-10-08
"893","review",NA,2018-10-08 21:01:00,2018-10-08 21:09:00,00:08:40,0.1446081,NA,"psi",2018-10-08
"894","review",NA,2018-10-09 08:30:00,2018-10-09 08:33:00,00:02:34,0.0427826,NA,"psi",2018-10-09
"895","phi",NA,2018-10-09 08:33:00,2018-10-09 08:34:00,00:00:56,0.0157081,NA,"phi",2018-10-09
"896","theta",NA,2018-10-09 08:34:00,2018-10-09 08:34:00,00:00:18,0.0051368,NA,"theta",2018-10-09
"897","psi",NA,2018-10-09 08:34:00,2018-10-09 08:41:00,00:06:45,0.1126841,NA,"psi",2018-10-09
"898","review",NA,2018-10-09 11:50:00,2018-10-09 11:52:00,00:02:03,0.0343381,NA,"psi",2018-10-09
"899","phi",NA,2018-10-09 12:40:00,2018-10-09 12:54:00,00:13:19,0.2221716,NA,"phi",2018-10-09
"900","theta",NA,2018-10-09 12:54:00,2018-10-09 12:56:00,00:02:47,0.0466014,NA,"theta",2018-10-09
"901","psi",NA,2018-10-09 13:16:00,2018-10-09 13:19:00,00:02:39,0.0442735,NA,"psi",2018-10-09
"902","review",NA,2018-10-09 13:19:00,2018-10-09 13:22:00,00:03:24,0.0567335,NA,"psi",2018-10-09
"903","phi",NA,2018-10-09 13:22:00,2018-10-09 13:45:00,00:22:45,0.3793971,NA,"phi",2018-10-09
"904","phi",NA,2018-10-09 14:06:00,2018-10-09 14:06:00,00:00:01,0.0004167,NA,"phi",2018-10-09
"905","psi",NA,2018-10-09 14:06:00,2018-10-09 14:11:00,00:04:31,0.075526,NA,"psi",2018-10-09
"906","Blog  crafts",NA,2018-10-09 14:26:00,2018-10-09 14:30:00,00:03:41,0.0616539,NA,"wellness",2018-10-09
"907","phi",NA,2018-10-09 14:59:00,2018-10-09 15:05:00,00:06:01,0.1003325,NA,"phi",2018-10-09
"908","theta",NA,2018-10-09 16:08:00,2018-10-09 16:17:00,00:09:35,0.1597778,NA,"theta",2018-10-09
"909","psi",NA,2018-10-09 16:17:00,2018-10-09 16:19:00,00:02:03,0.0342911,NA,"psi",2018-10-09
"910","review",NA,2018-10-09 16:26:00,2018-10-09 16:29:00,00:03:14,0.0539824,NA,"psi",2018-10-09
"911","psi",NA,2018-10-09 16:29:00,2018-10-09 16:42:00,00:13:14,0.2205675,NA,"psi",2018-10-09
"912","phi",NA,2018-10-09 16:46:00,2018-10-09 16:47:00,00:00:03,0.000871,NA,"phi",2018-10-09
"913","psi",NA,2018-10-09 16:48:00,2018-10-09 17:08:00,00:20:16,0.3378426,NA,"psi",2018-10-09
"914","phi",NA,2018-10-09 21:00:00,2018-10-09 21:39:00,00:39:43,0.6619491,NA,"phi",2018-10-09
"915","phi",NA,2018-10-09 21:45:00,2018-10-09 22:08:00,00:23:48,0.396893,NA,"phi",2018-10-09
"916","phi",NA,2018-10-10 05:14:00,2018-10-10 05:28:00,00:13:55,0.2321379,NA,"phi",2018-10-10
"917","phi",NA,2018-10-10 10:17:00,2018-10-10 10:25:00,00:08:16,0.1379578,NA,"phi",2018-10-10
"918","review",NA,2018-10-10 11:27:00,2018-10-10 11:43:00,00:15:45,0.2625007,NA,"psi",2018-10-10
"919","review",NA,2018-10-11 07:18:00,2018-10-11 07:32:00,00:14:03,0.2343529,NA,"psi",2018-10-11
"920","phi",NA,2018-10-11 07:32:00,2018-10-11 07:33:00,00:00:42,0.0118598,NA,"phi",2018-10-11
"921","theta",NA,2018-10-11 07:33:00,2018-10-11 07:37:00,00:03:46,0.0628596,NA,"theta",2018-10-11
"922","psi",NA,2018-10-11 07:37:00,2018-10-11 07:39:00,00:02:17,0.0382849,NA,"psi",2018-10-11
"923","phi",NA,2018-10-11 07:39:00,2018-10-11 07:50:00,00:11:15,0.1877619,NA,"phi",2018-10-11
"924","review",NA,2018-10-11 12:40:00,2018-10-11 12:59:00,00:18:26,0.3072369,NA,"psi",2018-10-11
"925","theta",NA,2018-10-11 13:41:00,2018-10-11 13:49:00,00:08:03,0.1342754,NA,"theta",2018-10-11
"926","phi",NA,2018-10-11 14:15:00,2018-10-11 14:16:00,00:01:15,0.0209005,NA,"phi",2018-10-11
"927","phi",NA,2018-10-11 14:17:00,2018-10-11 14:36:00,00:18:52,0.3144607,NA,"phi",2018-10-11
"928","phi",NA,2018-10-11 15:02:00,2018-10-11 15:09:00,00:07:13,0.1203199,NA,"phi",2018-10-11
"929","theta",NA,2018-10-11 15:09:00,2018-10-11 15:12:00,00:03:09,0.0527503,NA,"theta",2018-10-11
"930","phi",NA,2018-10-11 15:12:00,2018-10-11 15:33:00,00:20:23,0.339869,NA,"phi",2018-10-11
"931","phi",NA,2018-10-11 18:52:00,2018-10-11 18:54:00,00:01:55,0.0320323,NA,"phi",2018-10-11
"932","psi",NA,2018-10-11 18:54:00,2018-10-11 18:54:00,00:00:01,0.0003203,NA,"psi",2018-10-11
"933","psi",NA,2018-10-11 18:57:00,2018-10-11 19:04:00,00:07:10,0.1195714,NA,"psi",2018-10-11
"934","review",NA,2018-10-11 19:18:00,2018-10-11 19:21:00,00:02:49,0.0471003,NA,"psi",2018-10-11
"935","phi",NA,2018-10-11 19:21:00,2018-10-11 19:35:00,00:13:54,0.2319433,NA,"phi",2018-10-11
"936","theta",NA,2018-10-11 19:35:00,2018-10-11 19:51:00,00:16:30,0.27503,NA,"theta",2018-10-11
"937","psi",NA,2018-10-11 20:13:00,2018-10-11 20:19:00,00:05:16,0.0879567,NA,"psi",2018-10-11
"938","theta",NA,2018-10-11 20:19:00,2018-10-11 20:19:00,00:00:01,0.0003452,NA,"theta",2018-10-11
"939","phi",NA,2018-10-11 20:51:00,2018-10-11 20:58:00,00:06:54,0.1150852,NA,"phi",2018-10-11
"940","theta",NA,2018-10-11 21:04:00,2018-10-11 21:16:00,00:12:07,0.2020272,NA,"theta",2018-10-11
"941","review",NA,2018-10-11 21:48:00,2018-10-11 21:51:00,00:02:29,0.0414277,NA,"psi",2018-10-11
"942","psi",NA,2018-10-11 21:51:00,2018-10-11 21:53:00,00:01:58,0.0328846,NA,"psi",2018-10-11
"943","psi",NA,2018-10-13 08:23:00,2018-10-13 08:43:00,00:20:23,0.3397712,NA,"psi",2018-10-13
"944","review",NA,2018-10-13 13:57:00,2018-10-13 14:04:00,00:06:58,0.1162019,NA,"psi",2018-10-13
"945","phi",NA,2018-10-13 14:04:00,2018-10-13 14:38:00,00:33:55,0.565337,NA,"phi",2018-10-13
"946","review",NA,2018-10-13 18:45:00,2018-10-13 18:46:00,00:00:16,0.0045837,NA,"psi",2018-10-13
"947","phi",NA,2018-10-13 18:46:00,2018-10-13 18:48:00,00:02:42,0.0450604,NA,"phi",2018-10-13
"948","theta",NA,2018-10-13 18:48:00,2018-10-13 18:52:00,00:03:16,0.054643,NA,"theta",2018-10-13
"949","psi",NA,2018-10-13 18:52:00,2018-10-13 18:55:00,00:03:23,0.0564148,NA,"psi",2018-10-13
"950","phi",NA,2018-10-13 18:55:00,2018-10-13 19:07:00,00:12:02,0.2007516,NA,"phi",2018-10-13
"951","theta",NA,2018-10-13 19:07:00,2018-10-13 19:08:00,00:00:50,0.0141378,NA,"theta",2018-10-13
"952","phi",NA,2018-10-13 19:08:00,2018-10-13 19:10:00,00:02:26,0.0405701,NA,"phi",2018-10-13
"953","review",NA,2018-10-13 19:10:00,2018-10-13 19:11:00,00:00:29,0.0081133,NA,"psi",2018-10-13
"954","community",NA,2018-10-13 19:11:00,2018-10-13 19:11:00,00:00:00,0.0001936,NA,"psi",2018-10-13
"955","psi",NA,2018-10-13 19:19:00,2018-10-13 19:28:00,00:09:27,0.1577305,NA,"psi",2018-10-13
"956","phi",NA,2018-10-13 19:32:00,2018-10-13 19:33:00,00:01:24,0.0235869,NA,"phi",2018-10-13
"957","review",NA,2018-10-13 19:34:00,2018-10-13 19:37:00,00:02:41,0.0447505,NA,"psi",2018-10-13
"958","phi",NA,2018-10-13 19:37:00,2018-10-13 19:37:00,00:00:00,0.0002673,NA,"phi",2018-10-13
"959","theta",NA,2018-10-13 19:37:00,2018-10-13 19:38:00,00:01:07,0.0188729,NA,"theta",2018-10-13
"960","psi",NA,2018-10-13 19:44:00,2018-10-13 19:53:00,00:09:23,0.1565597,NA,"psi",2018-10-13
"961","review",NA,2018-10-14 07:07:00,2018-10-14 07:18:00,00:11:42,0.1951263,NA,"psi",2018-10-14
"962","phi",NA,2018-10-14 09:27:00,2018-10-14 09:40:00,00:12:56,0.2158302,NA,"phi",2018-10-14
"963","phi",NA,2018-10-14 09:40:00,2018-10-14 09:40:00,00:00:12,0.0035468,NA,"phi",2018-10-14
"964","theta",NA,2018-10-14 09:40:00,2018-10-14 09:42:00,00:02:36,0.0434853,NA,"theta",2018-10-14
"965","psi",NA,2018-10-14 09:42:00,2018-10-14 09:45:00,00:02:02,0.0341346,NA,"psi",2018-10-14
"966","psi",NA,2018-10-14 09:57:00,2018-10-14 10:16:00,00:19:01,0.31719,NA,"psi",2018-10-14
"967","review",NA,2018-10-14 10:16:00,2018-10-14 10:16:00,00:00:30,0.0084726,NA,"psi",2018-10-14
"968","phi",NA,2018-10-14 10:16:00,2018-10-14 10:16:00,00:00:22,0.0062984,NA,"phi",2018-10-14
"969","theta",NA,2018-10-14 11:23:00,2018-10-14 11:43:00,00:20:13,0.3370523,NA,"theta",2018-10-14
"970","psi",NA,2018-10-14 11:49:00,2018-10-14 12:05:00,00:16:20,0.2724181,NA,"psi",2018-10-14
"971","review",NA,2018-10-14 12:07:00,2018-10-14 12:08:00,00:01:36,0.0266806,NA,"psi",2018-10-14
"972","phi",NA,2018-10-14 12:08:00,2018-10-14 12:09:00,00:00:35,0.0099759,NA,"phi",2018-10-14
"973","theta",NA,2018-10-14 12:56:00,2018-10-14 13:21:00,00:25:00,0.416929,NA,"theta",2018-10-14
"974","psi",NA,2018-10-14 19:49:00,2018-10-14 20:37:00,00:48:06,0.8018631,NA,"psi",2018-10-14
"975","review",NA,2018-10-15 05:56:00,2018-10-15 06:01:00,00:05:08,0.0855963,NA,"psi",2018-10-15
"976","psi",NA,2018-10-15 06:01:00,2018-10-15 06:21:00,00:20:31,0.3420075,NA,"psi",2018-10-15
"977","review",NA,2018-10-15 06:21:00,2018-10-15 06:22:00,00:00:11,0.0032443,NA,"psi",2018-10-15
"978","psi",NA,2018-10-15 06:22:00,2018-10-15 06:26:00,00:03:52,0.0645912,NA,"psi",2018-10-15
"979","psi",NA,2018-10-15 11:47:00,2018-10-15 11:51:00,00:03:57,0.0659004,NA,"psi",2018-10-15
"980","phi",NA,2018-10-15 11:51:00,2018-10-15 11:53:00,00:01:23,0.023152,NA,"phi",2018-10-15
"981","theta",NA,2018-10-15 11:53:00,2018-10-15 11:56:00,00:03:42,0.0616977,NA,"theta",2018-10-15
"982","psi",NA,2018-10-15 11:56:00,2018-10-15 12:05:00,00:09:03,0.1509675,NA,"psi",2018-10-15
"983","phi",NA,2018-10-15 12:08:00,2018-10-15 12:28:00,00:20:05,0.3347896,NA,"phi",2018-10-15
"984","theta",NA,2018-10-15 12:28:00,2018-10-15 12:57:00,00:29:07,0.4854252,NA,"theta",2018-10-15
"985","review",NA,2018-10-15 12:57:00,2018-10-15 13:00:00,00:02:59,0.0499644,NA,"psi",2018-10-15
"986","psi",NA,2018-10-15 13:00:00,2018-10-15 13:11:00,00:11:18,0.1885385,NA,"psi",2018-10-15
"987","psi",NA,2018-10-15 13:21:00,2018-10-15 13:42:00,00:21:39,0.3609951,NA,"psi",2018-10-15
"988","review",NA,2018-10-15 13:45:00,2018-10-15 13:48:00,00:02:22,0.0395717,NA,"psi",2018-10-15
"989","phi",NA,2018-10-15 13:49:00,2018-10-15 14:02:00,00:13:00,0.2167351,NA,"phi",2018-10-15
"990","phi",NA,2018-10-15 14:03:00,2018-10-15 14:03:00,00:00:06,0.0016958,NA,"phi",2018-10-15
"991","theta",NA,2018-10-15 15:59:00,2018-10-15 16:18:00,00:18:49,0.3138276,NA,"theta",2018-10-15
"992","theta",NA,2018-10-15 16:24:00,2018-10-15 16:33:00,00:09:19,0.1553211,NA,"theta",2018-10-15
"993","psi",NA,2018-10-15 16:35:00,2018-10-15 16:38:00,00:02:35,0.0431414,NA,"psi",2018-10-15
"994","review",NA,2018-10-15 17:14:00,2018-10-15 17:21:00,00:07:35,0.1266098,NA,"psi",2018-10-15
"995","phi",NA,2018-10-15 17:21:00,2018-10-15 17:50:00,00:29:10,0.4862328,NA,"phi",2018-10-15
"996","phi",NA,2018-10-15 18:56:00,2018-10-15 19:23:00,00:27:21,0.4560631,NA,"phi",2018-10-15
"997","phi",NA,2018-10-15 19:47:00,2018-10-15 20:12:00,00:25:07,0.4188375,NA,"phi",2018-10-15
"998","review",NA,2018-10-15 20:12:00,2018-10-15 20:15:00,00:03:04,0.0512843,NA,"psi",2018-10-15
"999","phi",NA,2018-10-15 20:15:00,2018-10-15 20:17:00,00:02:41,0.0448319,NA,"phi",2018-10-15
"1000","phi",NA,2018-10-15 20:34:00,2018-10-15 20:44:00,00:09:08,0.1524854,NA,"phi",2018-10-15
"1001","phi",NA,2018-10-15 20:48:00,2018-10-15 21:23:00,00:34:42,0.57854,NA,"phi",2018-10-15
"1002","review",NA,2018-10-15 21:37:00,2018-10-15 21:38:00,00:00:35,0.0099818,NA,"psi",2018-10-15
"1003","phi",NA,2018-10-15 21:38:00,2018-10-15 21:39:00,00:01:42,0.0285604,NA,"phi",2018-10-15
"1004","review",NA,2018-10-15 21:39:00,2018-10-15 21:40:00,00:00:22,0.0062944,NA,"psi",2018-10-15
"1005","phi",NA,2018-10-15 21:40:00,2018-10-15 22:12:00,00:32:29,0.5416351,NA,"phi",2018-10-15
"1006","review",NA,2018-10-16 08:47:00,2018-10-16 08:56:00,00:09:02,0.1506908,NA,"psi",2018-10-16
"1007","theta",NA,2018-10-16 08:56:00,2018-10-16 09:12:00,00:16:08,0.2690193,NA,"theta",2018-10-16
"1008","review",NA,2018-10-16 09:12:00,2018-10-16 09:12:00,00:00:07,0.0021813,NA,"psi",2018-10-16
